data,method,cl,hl,ft_method,rank,alpha,dropout,target_modules,lr,epochs,batch_size,mae,mse,wape,smape,mae_scl,mse_scl,wape_scl,smape_scl,tr_time,inf_time,tr_params_ratio
Ettm1,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.1673,326.676,265.11,117.62,2.057,4.6901,173.39,198.02,6377.5003221035,20.214543104171753,0.002208788493316344
Ettm1,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.161,324.8111,265.02,117.64,2.0562,4.6634,173.33,198.29,5492.96088886261,9.032108068466187,0.001326445030598047
Ettm1,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.161,324.8111,265.02,117.64,2.0562,4.6634,173.33,198.29,5387.156445503235,9.025163650512695,0.000884687850332933
Ettm1,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.161,324.8111,265.02,117.64,2.0562,4.6634,173.33,198.29,6393.853263139725,9.833858251571655,0.002208788493316344
Ettm1,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.2944,329.6777,267.08,117.98,2.0722,4.7332,174.67,198.32,5478.295788049698,5.258331775665283,0.001326445030598047
Ettm1,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.2944,329.6777,267.08,117.98,2.0722,4.7332,174.67,198.32,5376.206818819046,5.280468940734863,0.000884687850332933
Ettm1,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.2944,329.6777,267.08,117.98,2.0722,4.7332,174.67,198.32,6345.172580480576,5.601206064224243,0.002208788493316344
Ettm1,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.025,328.0264,262.92,117.36,2.04,4.7095,171.95,197.5,5440.168285369873,2.512160301208496,0.001326445030598047
Ettm1,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.025,328.0264,262.92,117.36,2.04,4.7095,171.95,197.5,5335.199521303177,2.382237434387207,0.000884687850332933
Ettm1,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.025,328.0264,262.92,117.36,2.04,4.7095,171.95,197.5,6301.984180927277,2.7951061725616455,0.002208788493316344
Ettm2,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.9016,448.8218,83.39,67.78,1.5702,3.4532,155.48,160.9,5515.651339530945,18.11919903755188,0.001326445030598047
Ettm2,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.9016,448.8218,83.39,67.78,1.5702,3.4532,155.48,160.9,5395.754198789597,18.128302097320557,0.000884687850332933
Ettm2,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.9016,448.8218,83.39,67.78,1.5702,3.4532,155.48,160.9,6370.200425386429,20.335489988327026,0.002208788493316344
Ettm2,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.8819,448.5766,83.3,67.68,1.5685,3.4513,155.31,160.92,5508.5725877285,9.155086755752563,0.001326445030598047
Ettm2,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.8819,448.5766,83.3,67.68,1.5685,3.4513,155.31,160.92,5380.793148994446,9.085093975067139,0.000884687850332933
Ettm2,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.8819,448.5766,83.3,67.68,1.5685,3.4513,155.31,160.92,6377.892605781555,10.187740802764893,0.002208788493316344
Ettm2,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,18.2132,470.7724,84.84,68.39,1.5976,3.6221,158.19,161.18,5466.291709184647,5.261318922042847,0.001326445030598047
Ettm2,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,18.2132,470.7724,84.84,68.39,1.5976,3.6221,158.19,161.18,5398.217665433884,5.257347822189331,0.000884687850332933
Ettm2,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,18.2132,470.7724,84.84,68.39,1.5976,3.6221,158.19,161.18,6344.570072889328,5.859124183654785,0.002208788493316344
Ettm2,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.94,472.4569,83.57,67.78,1.5736,3.6351,155.81,160.15,5432.1609518527985,2.3650760650634766,0.001326445030598047
Ettm2,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.94,472.4569,83.57,67.78,1.5736,3.6351,155.81,160.15,5336.6470601558685,2.514195680618286,0.000884687850332933
Ettm2,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.94,472.4569,83.57,67.78,1.5736,3.6351,155.81,160.15,6316.892128705978,2.721099615097046,0.002208788493316344
Electricity,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,827.3362,1.0368741e+06,25.25,24.31,1.4922,3.3732,186.21,157.3,2064.638062477112,6.483862638473511,0.001326445030598047
Electricity,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,827.3362,1.0368741e+06,25.25,24.31,1.4922,3.3732,186.21,157.3,2030.6435537338257,6.878839015960693,0.000884687850332933
Electricity,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,827.3362,1.0368741e+06,25.25,24.31,1.4922,3.3732,186.21,157.3,2390.4898705482483,7.750523805618286,0.002208788493316344
Electricity,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,809.1856,994073.2,24.69,23.23,1.4595,3.2339,182.13,157.83,2059.1913781166077,3.271815776824951,0.001326445030598047
Electricity,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,809.1856,994073.2,24.69,23.23,1.4595,3.2339,182.13,157.83,2011.5712332725525,3.515888214111328,0.000884687850332933
Electricity,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,809.1856,994073.2,24.69,23.23,1.4595,3.2339,182.13,157.83,2381.778736114502,3.921747922897339,0.002208788493316344
Electricity,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,820.601,1.01241244e+06,25.04,23.53,1.4801,3.2936,184.7,159.65,2038.7360978126526,2.0079240798950195,0.001326445030598047
Electricity,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,820.601,1.01241244e+06,25.04,23.53,1.4801,3.2936,184.7,159.65,2005.8757071495056,2.0223236083984375,0.000884687850332933
Electricity,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,820.601,1.01241244e+06,25.04,23.53,1.4801,3.2936,184.7,159.65,2356.091012239456,2.2282862663269043,0.002208788493316344
Electricity,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,786.9907,941814.4,24.02,22.85,1.4195,3.0639,177.13,157.48,2007.0984802246094,0.9167077541351318,0.001326445030598047
